content_type,creator_category,account_type,has_call_to_action,description_length,hashtags,followers,account_age_months,historical_avg_views,historical_engagement_rate,posting_hour,day_of_week,expected_views,expected_engagement_rate,performance_score,performance_category
image,Fitness,creator,0,90,4,10788,8.2,2419,4.14,7,Tuesday,2564,2.8,41.1,Medium
image,Fitness,creator,1,116,6,3550,7.4,194,0.95,20,Sunday,1260,2.97,30.1,Low
reel,Fashion,brand,1,95,6,11586,16.7,2365,4.58,12,Thursday,6149,5.0,72.8,High
reel,Music,creator,0,75,6,8606,11.5,3339,5.32,21,Thursday,4462,6.11,76.7,High
carousel,Fitness,brand,1,44,2,1305,28.3,744,4.57,2,Wednesday,755,5.15,40.9,Medium
carousel,Beauty,brand,0,59,8,8782,17.5,1264,6.53,20,Monday,2358,6.82,70.6,High
image,Fashion,creator,1,92,4,2320,5.8,183,5.34,18,Wednesday,683,5.83,44.0,Medium
reel,Lifestyle,brand,1,105,4,19096,7.0,2577,3.41,21,Wednesday,5864,4.99,72.1,High
image,Lifestyle,creator,0,103,7,26206,13.0,5423,5.9,19,Thursday,6047,8.1,85.8,High
carousel,Fitness,creator,1,101,2,1827,0.0,314,5.36,9,Tuesday,814,4.12,32.6,Low
image,Fitness,creator,0,175,5,740,8.6,176,6.54,1,Sunday,485,4.91,33.1,Low
carousel,Fitness,creator,0,164,6,10310,0.0,1348,2.34,15,Friday,1694,3.7,42.2,Medium
reel,Fitness,creator,0,119,9,837,8.9,70,0.74,17,Wednesday,1069,2.33,22.5,Low
carousel,Technology,creator,0,68,5,53400,24.1,11263,0.91,1,Tuesday,7940,2.26,51.5,Medium
reel,Beauty,creator,1,10,2,8000,20.2,779,9.18,8,Wednesday,3778,6.7,77.1,High
image,Fashion,brand,1,123,8,338,0.8,39,5.25,10,Friday,670,3.83,26.6,Low
carousel,Lifestyle,creator,0,120,5,2654,17.4,58,3.0,19,Monday,870,3.6,29.0,Low
carousel,Comedy,creator,1,112,4,16278,11.6,786,5.46,14,Thursday,2513,6.25,69.3,High
carousel,Fitness,creator,0,77,5,1358,14.8,329,4.27,17,Friday,1194,4.16,40.1,Medium
reel,Lifestyle,creator,1,77,7,5156,7.6,268,2.89,8,Saturday,1215,2.61,26.8,Low
image,Comedy,brand,1,37,5,9117,14.3,1618,2.42,12,Tuesday,2660,4.11,53.3,Medium
reel,Food,creator,1,132,6,18138,0.4,1946,6.22,23,Monday,11633,5.08,79.4,High
reel,Photography,brand,0,65,7,35861,22.0,4457,3.99,17,Friday,10247,4.98,77.6,High
image,Comedy,creator,1,132,5,18097,,5263,5.56,23,Friday,9305,4.61,73.3,High
carousel,Travel,creator,0,131,9,4710,18.1,178,3.24,7,Tuesday,971,2.27,20.1,Low
image,Fitness,creator,0,166,6,1140,9.2,227,3.77,10,Tuesday,671,2.18,13.1,Low
reel,Fitness,creator,0,88,7,1246,0.6,251,4.68,20,Tuesday,1350,5.0,50.2,Medium
reel,Music,creator,0,113,8,5464,19.7,890,4.56,14,Wednesday,4040,5.63,72.5,High
image,Comedy,brand,0,175,4,200,23.0,32,4.58,20,Tuesday,326,5.51,35.7,Low
carousel,Music,creator,0,94,5,4827,0.5,1038,2.22,19,Friday,3070,3.82,52.9,Medium
carousel,Photography,brand,0,159,1,40254,13.4,10914,7.76,10,Friday,13941,7.96,93.0,High
reel,Fashion,creator,1,114,9,43197,20.8,1995,3.61,8,Monday,4370,3.72,56.8,Medium
image,Fitness,creator,0,137,4,8261,5.0,368,5.08,5,Thursday,970,6.42,53.2,Medium
image,Fitness,brand,0,90,8,28052,13.2,1143,3.79,15,Friday,2273,2.9,40.0,Medium
carousel,Food,brand,1,98,2,852,16.2,174,6.53,12,Thursday,742,7.28,51.3,Medium
carousel,Travel,brand,0,154,8,38600,6.7,7315,0.55,20,Friday,11208,2.02,53.0,Medium
image,Comedy,brand,1,123,5,19718,14.7,4291,2.86,12,Wednesday,6157,3.72,60.9,Medium
carousel,Beauty,creator,1,144,5,1961,9.6,202,1.81,10,Monday,1091,1.94,20.6,Low
carousel,Food,brand,0,74,7,2777,13.2,582,2.46,18,Sunday,1223,2.41,25.4,Low
image,Food,brand,1,163,13,13736,34.0,972,6.59,7,Tuesday,3156,4.67,61.3,Medium
carousel,Fashion,brand,0,145,9,11939,11.3,726,2.7,7,Sunday,2382,2.91,40.9,Medium
image,Music,creator,0,80,4,2129,8.2,347,3.71,6,Friday,721,4.47,33.8,Low
image,Lifestyle,brand,0,97,2,4727,34.0,1114,5.02,16,Wednesday,1236,5.53,52.6,Medium
reel,Beauty,creator,0,234,3,3737,13.9,291,0.89,15,Tuesday,1372,2.94,31.5,Low
carousel,Fashion,creator,0,99,5,1046,9.1,123,5.51,2,Friday,537,4.04,25.8,Low
reel,Comedy,brand,1,168,7,963,0.0,212,4.37,22,Tuesday,668,4.2,30.0,Low
image,Fitness,creator,0,164,2,884,21.3,103,9.08,21,Thursday,404,6.88,43.5,Medium
carousel,Photography,creator,0,131,6,54265,21.7,4275,4.02,0,Monday,13969,2.54,58.1,Medium
carousel,Fashion,brand,0,106,5,8874,15.6,2322,5.47,12,Monday,3394,4.19,57.8,Medium
carousel,Fashion,creator,1,131,7,7228,5.5,3245,5.61,18,Sunday,6297,6.34,81.9,High
carousel,Beauty,brand,0,27,3,31141,12.4,6157,1.57,16,Wednesday,14197,3.01,61.7,Medium
carousel,Food,creator,1,114,8,37549,25.1,4508,6.45,2,Wednesday,7567,4.76,72.9,High
carousel,Music,brand,0,13,10,65390,,4694,3.95,8,Thursday,11749,3.3,62.8,Medium
reel,Lifestyle,creator,1,162,3,25277,9.0,12260,5.64,7,Monday,29665,5.62,88.2,High
reel,Fashion,creator,1,69,5,3627,12.4,122,0.1,3,Monday,432,0.1,1.9,Low
carousel,Food,brand,1,139,6,6583,6.5,993,7.26,20,Monday,3289,8.32,78.2,High
carousel,Music,creator,1,114,5,8028,10.0,290,2.6,9,Tuesday,1668,3.72,42.0,Medium
reel,Technology,creator,1,78,7,2624,,245,1.39,12,Monday,636,2.49,14.4,Low
reel,Beauty,brand,0,83,6,13201,8.7,2736,4.93,13,Thursday,7618,3.94,65.1,Medium
reel,Lifestyle,creator,1,10,5,4841,2.8,1247,4.87,14,Friday,3286,3.88,54.4,Medium
image,Beauty,creator,1,171,13,1491,14.1,337,2.61,7,Monday,1304,4.74,47.2,Medium
image,Technology,brand,0,97,4,9504,10.1,3091,3.51,23,Saturday,3947,4.86,66.1,Medium
carousel,Food,brand,0,102,7,13364,14.2,2756,4.59,11,Thursday,4587,3.05,51.2,Medium
image,Fashion,brand,0,115,7,13215,9.8,6930,5.39,6,Monday,5894,3.87,61.7,Medium
image,Music,brand,0,84,3,1789,15.4,543,5.48,6,Sunday,1858,5.44,59.3,Medium
image,Fashion,creator,0,81,4,50051,24.8,11188,2.52,13,Wednesday,16667,1.48,53.1,Medium
image,Lifestyle,creator,0,129,5,2600,16.9,115,7.26,9,Monday,632,4.7,34.0,Low
reel,Music,creator,0,162,8,9957,19.4,3686,5.08,6,Tuesday,9673,5.82,83.3,High
reel,Beauty,creator,0,90,5,811,15.4,139,2.7,10,Sunday,688,2.65,16.8,Low
reel,Photography,creator,0,124,4,78079,23.6,20061,7.43,14,Saturday,33849,7.82,96.7,High
image,Fitness,creator,1,131,3,8583,26.9,1388,4.18,22,Thursday,1596,4.42,47.7,Medium
image,Technology,brand,1,148,4,3366,23.3,1251,3.0,11,Monday,1384,3.29,34.6,Low
image,Travel,creator,0,160,5,6910,27.4,167,1.64,23,Friday,1231,0.1,17.4,Low
image,Fashion,creator,1,189,10,2784,11.3,894,4.55,3,Monday,956,2.85,24.2,Low
reel,Food,creator,0,134,6,2129,28.9,582,2.23,4,Friday,1801,2.24,31.2,Low
reel,Lifestyle,brand,1,97,12,16188,15.5,2727,2.48,18,Friday,4277,3.95,58.7,Medium
carousel,Fitness,creator,0,34,4,6193,18.7,1352,8.74,10,Friday,1805,7.15,67.0,Medium
carousel,Travel,creator,0,124,5,7028,23.2,671,1.59,3,Thursday,1578,0.81,23.0,Low
image,Photography,creator,0,70,5,3206,20.0,174,4.14,8,Friday,533,3.14,17.4,Low
reel,Photography,creator,1,191,5,200,15.1,34,2.33,16,Monday,879,4.78,40.3,Medium
image,Music,creator,0,117,9,90351,22.7,8651,4.94,22,Saturday,25199,3.51,68.9,Medium
carousel,Food,brand,1,114,5,2026,7.8,133,5.74,8,Sunday,732,5.76,44.8,Medium
image,Fashion,brand,1,150,6,1083,12.9,318,3.81,22,Wednesday,649,4.54,32.8,Low
image,Photography,creator,0,152,3,767,14.9,78,3.94,2,Saturday,587,2.42,12.9,Low
image,Comedy,brand,0,73,6,2410,25.3,1002,5.34,20,Sunday,1655,5.72,59.3,Medium
reel,Technology,creator,0,75,4,2923,20.1,475,2.12,15,Friday,911,4.08,34.3,Low
image,Travel,brand,0,198,1,16570,13.5,6107,4.11,10,Friday,6916,2.27,50.2,Medium
carousel,Fitness,creator,0,17,5,10654,30.7,1910,3.32,11,Monday,4488,4.54,64.8,Medium
carousel,Food,creator,1,95,8,12599,19.6,1615,0.1,4,Thursday,2471,0.98,31.1,Low
reel,Photography,creator,1,99,11,6760,28.5,419,2.39,1,Monday,2259,2.34,35.8,Low
carousel,Music,creator,1,154,11,9426,0.0,324,6.79,23,Monday,1119,6.09,54.5,Medium
reel,Beauty,creator,1,83,4,66833,16.7,9213,5.17,9,Saturday,15985,3.83,69.8,High
image,Lifestyle,creator,0,50,3,1548,16.7,78,0.67,20,Saturday,558,2.84,15.4,Low
image,Food,creator,0,121,4,3025,21.2,845,1.23,23,Saturday,2479,3.32,44.9,Medium
carousel,Fitness,creator,0,120,5,92904,12.7,12606,4.55,21,Wednesday,18981,4.32,75.3,High
reel,Fitness,creator,0,117,13,11092,16.4,1311,5.24,14,Tuesday,4973,3.19,53.4,Medium
carousel,Music,brand,1,150,7,24577,3.3,2604,3.82,6,Wednesday,7993,3.64,62.8,Medium
carousel,Fashion,brand,1,151,1,234,0.0,30,3.35,21,Monday,485,4.1,25.4,Low
reel,Lifestyle,creator,0,47,7,5913,14.0,523,2.09,16,Saturday,1934,1.97,30.8,Low
reel,Fashion,creator,0,138,6,42817,13.1,9765,5.57,3,Saturday,25583,4.8,81.2,High
image,Photography,brand,1,119,3,1971,9.9,314,1.79,20,Thursday,1353,3.17,33.2,Low
image,Food,brand,0,55,10,857,27.9,258,4.13,14,Tuesday,734,4.6,35.4,Low
image,Comedy,creator,0,89,4,8741,21.1,626,2.91,19,Sunday,1393,2.57,29.1,Low
image,Lifestyle,creator,0,113,7,7894,14.0,478,3.84,5,Sunday,683,2.23,13.7,Low
reel,Comedy,creator,0,171,4,981,21.1,121,3.01,6,Friday,817,3.18,24.0,Low
reel,Technology,creator,0,172,2,98369,19.4,28761,3.73,15,Sunday,43553,3.43,69.8,High
carousel,Fashion,brand,0,174,3,13713,10.3,6759,8.25,15,Monday,8741,6.38,85.4,High
reel,Technology,creator,0,240,6,1508,15.9,228,5.45,10,Wednesday,1336,6.01,57.3,Medium
image,Comedy,creator,0,87,8,710166,0.0,99496,2.26,11,Friday,164145,2.35,62.7,Medium
carousel,Comedy,brand,0,230,6,6009,20.9,863,3.66,13,Tuesday,1369,2.49,28.1,Low
reel,Photography,brand,1,73,11,119929,8.4,26639,7.22,6,Friday,62958,7.7,97.8,High
image,Technology,brand,1,137,7,744,4.6,362,8.34,7,Monday,975,7.81,56.9,Medium
image,Comedy,brand,1,129,6,2268,17.5,324,5.32,11,Thursday,788,3.75,28.8,Low
image,Fashion,brand,0,139,6,3764,19.3,215,5.76,17,Sunday,1063,5.53,49.9,Medium
carousel,Beauty,creator,1,97,7,15539,23.9,464,5.83,19,Friday,2499,6.25,69.2,High
reel,Beauty,creator,1,44,10,82904,15.6,14071,0.1,9,Thursday,21656,0.24,51.5,Medium
image,Travel,brand,1,98,6,1660,0.0,502,1.33,13,Saturday,1132,3.47,32.6,Low
carousel,Comedy,creator,0,67,4,39551,5.6,6225,5.41,15,Tuesday,11977,4.37,73.0,High
image,Lifestyle,creator,1,126,2,100463,0.0,3681,4.83,5,Wednesday,4522,3.75,57.5,Medium
carousel,Photography,creator,1,198,7,1824,12.4,280,2.28,20,Monday,1003,3.37,29.4,Low
carousel,Photography,creator,1,148,9,1665,4.3,100,0.35,16,Tuesday,632,2.09,11.7,Low
reel,Fashion,brand,0,134,7,42254,11.8,9705,1.66,4,Tuesday,19543,3.95,72.0,High
carousel,Travel,creator,0,160,6,2465,1.0,666,7.47,3,Sunday,1568,6.98,64.1,Medium
carousel,Food,creator,0,114,9,46412,10.4,12898,3.11,16,Monday,23583,5.15,84.0,High
image,Music,brand,0,131,4,8200,20.8,1572,5.08,5,Friday,1211,4.65,44.9,Medium
carousel,Music,creator,1,145,2,5273,19.9,2023,5.8,7,Thursday,2727,5.63,66.8,Medium
image,Fitness,creator,1,127,9,19852,13.8,5343,2.17,16,Thursday,6867,3.47,59.7,Medium
carousel,Technology,brand,0,134,4,2502,13.2,83,2.25,13,Sunday,1041,3.75,33.7,Low
image,Food,brand,1,10,5,2464,0.0,662,4.25,11,Sunday,2985,3.73,51.7,Medium
reel,Travel,creator,0,155,4,13031,6.6,2190,0.1,18,Friday,5305,3.84,60.2,Medium
reel,Fitness,creator,1,60,14,2067,,79,3.32,21,Monday,856,3.37,26.5,Low
carousel,Fitness,creator,0,160,6,1877,16.9,634,4.06,9,Monday,1137,3.86,36.4,Low
carousel,Technology,brand,0,88,4,1585,23.6,59,3.53,7,Wednesday,775,4.06,31.3,Low
image,Fitness,brand,1,98,3,1003,11.4,135,5.82,1,Friday,411,4.41,27.1,Low
reel,Technology,brand,0,125,11,9469,19.9,830,4.5,21,Saturday,1846,3.9,45.4,Medium
